regionname,statename,price_2010,price_2011,price_2012,price_2013,price_2014,price_2015,price_2016,price_2017,price_2018,price_2019,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019
New York,New York,,466433.3333,474750,483691.6667,489241.6667,518291.6667,537025,542558.3333,555475,566125,8190209,8272948,8346693,8396091,8433806,8463049,8469153,8437478,8390081,8336817
Los Angeles,California,353725,339916.6667,347141.6667,443841.6667,459608.3333,493125,530608.3333,568141.6667,638983.3333,706516.6667,3795512,3820876,3851202,3881622,3909901,3938568,3963226,3975788,3977596,3979576
Houston,Texas,134650,134650,139950,158116.6667,168775,170983.3333,180991.6667,191100,197275,208925,2100280,2126032,2161593,2199391,2241826,2286908,2309544,2316750,2318573,2320268
Chicago,Illinois,205200,182666.6667,181566.6667,211350,238950,236675,219291.6667,226908.3333,246716.6667,269500,2697477,2708114,2719141,2725731,2727066,2724344,2716723,2711069,2701423,2693976
San Antonio,Texas,131391.6667,131633.3333,135691.6667,144908.3333,154175,164875,171508.3333,177775,188141.6667,197491.6667,1332299,1357120,1383075,1408339,1435456,1464043,1487843,1511154,1530016,1547253
Philadelphia,Pennsylvania,112116.6667,106300,105225,109616.6667,118750,118850,123408.3333,140625,142633.3333,161241.6667,1528283,1540466,1551824,1558313,1565460,1571065,1576051,1580601,1583592,1584064
Phoenix,Arizona,96675,83533.33333,99458.33333,130908.3333,139983.3333,158608.3333,177425,193991.6667,217108.3333,232350,1449038,1469796,1499274,1526491,1555445,1583690,1612199,1633560,1654675,1680992
Las Vegas,Nevada,122091.6667,107441.6667,115700,150508.3333,170016.6667,184691.6667,196850,221083.3333,254250,269450,584576,586606,593275,599551,607976,617487,626538,635262,643228,651319
San Diego,California,346383.3333,331975,352508.3333,419300,450216.6667,476616.6667,504141.6667,543366.6667,586733.3333,600383.3333,1305906,1319592,1336776,1355320,1375831,1387323,1402089,1412621,1421917,1423851
Dallas,Texas,165425,172966.6667,201166.6667,232908.3333,242200,254450,270550,288341.6667,297833.3333,301116.6667,1200350,1218282,1242115,1258835,1279098,1301329,1323916,1342479,1341802,1343573
Austin,Texas,222358.3333,224141.6667,234991.6667,254541.6667,271716.6667,294775,317516.6667,336816.6667,354350,373300,806164,828459,854482,875003,901170,921114,939447,951553,962469,978908
San Jose,California,451350,423500,467316.6667,582575,641100,704808.3333,760125,841975,1015750,942700,954940,970369,983530,1001279,1014273,1025980,1030242,1032335,1028020,1021795
Jacksonville,Florida,97366.66667,84625,77725,83475,82825,89891.66667,108425,127475,141800,162458.3333,823114,829609,837013,842735,852494,865836,880520,892025,902437,911507
Indianapolis,Indiana,,,,,,,,,139008.3333,151216.6667,821579,827664,835499,844696,850164,853714,859049,863478,870960,876384
San Francisco,California,686766.6667,665791.6667,710558.3333,832041.6667,959925,1102425,1166108.333,1205958.333,1316725,1338958.333,805505,815650,828876,839572,850750,863010,871512,878040,880696,881549
Charlotte,North Carolina,138550,131650,139375,157308.3333,168766.6667,179925,185566.6667,187350,214858.3333,233558.3333,738444,754829,773264,792047,807400,825668,843117,860002,872514,885708
Fort Worth,Texas,120541.6667,114733.3333,125308.3333,137491.6667,148166.6667,162391.6667,178116.6667,195791.6667,209275,218975,748441,764142,781046,796073,815057,835356,856177,874809,893216,909585
Tucson,Arizona,138033.3333,115508.3333,125208.3333,144291.6667,150591.6667,148225,162308.3333,175475,187850,201600,527160,530709,531880,532945,534800,535607,537528,541377,544858,548073
Columbus,Ohio,100550,84375,95700,101600,114183.3333,126516.6667,130283.3333,139325,146925,158325,790943,800607,812740,827797,841673,854950,866894,881694,890869,898553
Orlando,Florida,88033.33333,88658.33333,104325,131033.3333,147216.6667,162491.6667,181450,199000,232925,242783.3333,239326,243620,249935,255135,262469,270786,278512,281804,285903,287442
El Paso,Texas,,125683.3333,126308.3333,127633.3333,125941.6667,125166.6667,126950,132725,137933.3333,146875,650671,664404,674941,674808,677235,676242,679955,681343,679875,681728
Denver,Colorado,196966.6667,200458.3333,228441.6667,255833.3333,264633.3333,303516.6667,338075,373533.3333,414666.6667,423350,603359,620530,635163,649391,664582,683285,696159,704961,716265,727211
Seattle,Washington,380591.6667,364433.3333,372091.6667,405116.6667,425683.3333,465225,529441.6667,619891.6667,694733.3333,688208.3333,610630,622694,635928,653588,670109,687386,709631,728661,742235,753675
Memphis,Tennessee,56725,53791.66667,57891.66667,68041.66667,80408.33333,82741.66667,86241.66667,93925,95866.66667,100875,652326,655341,658786,657146,654990,654106,652548,650878,651104,651073
Boston,Massachusetts,,,,418875,442250,489458.3333,523083.3333,566808.3333,612841.6667,639816.6667,621048,630505,642955,653002,662855,670491,679848,687788,691147,692600
Washington,District of Columbia,361791.6667,380533.3333,402150,452158.3333,474350,496583.3333,512058.3333,525233.3333,520950,547475,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749
Portland,Oregon,260250,247808.3333,258308.3333,287891.6667,307458.3333,330783.3333,369150,396800,416633.3333,421016.6667,585429,595451,604264,609890,620510,631366,642720,647924,650837,654741
Nashville,Tennessee,141091.6667,138316.6667,144375,157541.6667,171625,185966.6667,208683.3333,233950,256600,272583.3333,604589,612518,625550,635999,645259,655498,661765,663587,667006,670820
Sacramento,California,136983.3333,121208.3333,130441.6667,173258.3333,203791.6667,226425,253100,271916.6667,298733.3333,315766.6667,467286,470902,474226,478214,482762,488133,494127,500777,507737,513624
Baltimore,Maryland,,,91075,94400,101066.6667,94383.33333,105766.6667,109525,107683.3333,114166.6667,620915,620410,622895,622391,623587,622522,616226,610481,602443,593490
Milwaukee,Wisconsin,88225,73350,69333.33333,77433.33333,85041.66667,96833.33333,104258.3333,113566.6667,123066.6667,131433.3333,594865,597086,598569,599916,600664,600477,596996,593725,591375,590157
Fresno,California,,,130058.3333,156666.6667,174516.6667,192833.3333,203575,224408.3333,242558.3333,245691.6667,497769,501429,505414,508880,514100,518203,521426,525373,528814,531576
Omaha,Nebraska,126550,124050,128616.6667,130825,133841.6667,141108.3333,148208.3333,156391.6667,169141.6667,186466.6667,459659,462101,465261,468086,470423,472638,475044,476271,477299,478192
Albuquerque,New Mexico,169950,161775,160791.6667,166383.3333,170108.3333,174525,178400,183483.3333,190116.6667,204833.3333,546755,552066,555002,557445,557444,557937,559192,559673,559629,560513
Oklahoma City,Oklahoma,95066.66667,97975,108433.3333,112041.6667,116975,129691.6667,132716.6667,134058.3333,133600,147958.3333,582516,590947,600971,612061,621639,632172,639924,642822,647912,655057
Raleigh,North Carolina,174808.3333,171166.6667,172800,177700,181991.6667,204675,214475,231475,249758.3333,256300,406353,413958,423304,431391,439503,449546,459469,465776,469314,474069
Mesa,Arizona,120591.6667,101691.6667,122891.6667,150416.6667,160283.3333,174533.3333,191158.3333,208158.3333,230541.6667,249916.6667,440993,447681,456968,464803,473132,481811,490695,500021,507945,518012
Miami,Florida,187083.3333,212408.3333,244016.6667,280350,282241.6667,291016.6667,291575,302258.3333,311116.6667,321350,400779,406593,411149,415661,425110,434738,449149,456617,462819,467963
Atlanta,Georgia,118291.6667,118933.3333,116225,147950,177200,198683.3333,201741.6667,208583.3333,219041.6667,246008.3333,429410,437812,449016,453990,461154,468303,479174,491670,498183,506811
Kansas City,Missouri,101158.3333,83275,100141.6667,109283.3333,119341.6667,131983.3333,137891.6667,163083.3333,174016.6667,182083.3333,460697,462368,464595,467213,470629,475073,481670,488329,492012,495327
Colorado Springs,Colorado,172525,166191.6667,172841.6667,187625,195658.3333,210291.6667,226325,247350,275333.3333,296408.3333,420685,427434,432782,438146,442361,449572,458714,465167,472567,478221
Long Beach,California,304183.3333,297466.6667,302791.6667,370366.6667,404233.3333,437141.6667,469375,475641.6667,538266.6667,569091.6667,462431,464512,466873,468000,469109,470128,468719,466646,465865,462628
Virginia Beach,Virginia,230225,214825,217125,222341.6667,225083.3333,230858.3333,237533.3333,243000,250991.6667,257650,438859,442583,445044,447706,448864,450304,450983,449896,449849,449974
Oakland,California,244133.3333,226158.3333,257525,383650,434641.6667,505991.6667,571675,624441.6667,696283.3333,713625,391406,396086,401104,406648,412901,418211,420947,424382,429056,433031
Tulsa,Oklahoma,104058.3333,102258.3333,105033.3333,111725,108233.3333,116141.6667,117716.6667,130266.6667,128108.3333,139025,392403,393005,394643,398401,399892,403491,404007,402060,400414,401190
Minneapolis,Minnesota,170033.3333,149725,154758.3333,175616.6667,188208.3333,207158.3333,217025,229633.3333,245833.3333,266050,383067,388052,392768,400070,407067,411030,415079,420925,424903,429606
Cleveland,Ohio,,,28841.66667,30008.33333,35758.33333,37316.66667,41841.66667,53408.33333,58075,62925,395926,392667,391550,391792,390871,389244,387662,385252,383214,381009
New Orleans,Louisiana,,,,160191.6667,163150,175433.3333,175441.6667,185716.6667,188183.3333,208166.6667,347772,360735,369787,378637,383940,389742,391843,391493,391004,390144
Arlington,Texas,120075,115191.6667,116666.6667,127783.3333,141375,152541.6667,168083.3333,183308.3333,199758.3333,215333.3333,365892,370253,375629,378950,382721,388728,394384,397173,398123,398854
Knoxville,Tennessee,127308.3333,127825,130825,138008.3333,138508.3333,145966.6667,149433.3333,156591.6667,166641.6667,180275,178258,179955,181093,181779,182631,184046,184986,186905,187362,187603
Baton Rouge,Louisiana,164408.3333,158891.6667,154616.6667,157733.3333,157758.3333,166958.3333,172658.3333,172091.6667,174916.6667,178308.3333,229374,228643,228889,228346,227851,227202,226686,224414,222190,220236
Wichita,Kansas,119866.6667,122525,121566.6667,120816.6667,121633.3333,130566.6667,133608.3333,135641.6667,136966.6667,152975,382745,383773,385751,387210,388416,389412,390519,390277,389231,389938
Tampa,Florida,91683.33333,76983.33333,95600,120308.3333,125233.3333,146175,179375,188750,216225,231541.6667,337053,342589,348090,355172,362664,371464,380344,391026,397232,399700
Aurora,Colorado,141241.6667,132591.6667,154833.3333,181275,201491.6667,230883.3333,262108.3333,290316.6667,318316.6667,334491.6667,326055,332730,339261,345613,352660,360098,363277,367574,374572,379289
Riverside,California,195083.3333,189783.3333,203683.3333,253358.3333,292258.3333,314466.6667,335350,361433.3333,399016.6667,415675,305466,309472,312323,315510,317702,320483,323684,326882,329654,331360
Bakersfield,California,136733.3333,133458.3333,141333.3333,180383.3333,200000,208016.6667,214950,222716.6667,236191.6667,249958.3333,348987,353221,357312,362834,366954,371348,374699,377940,381714,384145
Cincinnati,Ohio,,,100925,115333.3333,125608.3333,129191.6667,143483.3333,140991.6667,148950,154308.3333,296980,296187,296900,297905,298626,299439,299748,301587,302277,303940
Pittsburgh,Pennsylvania,110025,109666.6667,116866.6667,119250,125725,134050,139175,145483.3333,156516.6667,164833.3333,305283,306012,306355,306902,305964,304070,304643,301494,300570,300286
Anaheim,California,354791.6667,340191.6667,345316.6667,410900,446608.3333,473658.3333,508958.3333,533366.6667,575225,589933.3333,336760,339831,342071,343832,344604,348251,350013,350476,350698,350365
Santa Ana,California,,259500,280466.6667,335375,376483.3333,402566.6667,436108.3333,453350,500316.6667,518650,325327,328227,330550,333716,333431,333417,333765,332627,331912,332318
Columbia,South Carolina,,,107558.3333,109625,109416.6667,118791.6667,120525,120491.6667,131666.6667,140725,130774,131302,131761,131527,131781,133616,134129,134005,132770,131674
Marietta,Georgia,172075,152825,149850,186991.6667,206700,221508.3333,226100,239941.6667,260991.6667,273366.6667,56708,57348,58167,58819,59547,59845,60679,60679,60647,60867
Vancouver,Washington,190375,169900,173633.3333,202183.3333,218258.3333,239566.6667,263691.6667,294191.6667,325533.3333,342516.6667,167595,169046,170035,171565,173406,176409,178621,180360,182887,184463
Greensboro,North Carolina,121475,116966.6667,116291.6667,120600,125433.3333,131541.6667,134675,133950,145825,157966.6667,269598,272430,276041,279244,282261,284610,289182,291537,294518,296710
Lexington,Kentucky,144250,141758.3333,139133.3333,138158.3333,140383.3333,149233.3333,157841.6667,162358.3333,173433.3333,181266.6667,296848,301696,305947,309865,311784,315819,319644,321964,322426,323152
Fort Wayne,Indiana,,90508.33333,100058.3333,101616.6667,105508.3333,109633.3333,119966.6667,124133.3333,134375,144908.3333,254161,256293,257626,259333,260570,262109,263513,265128,267460,270402
Toledo,Ohio,,,,,50500,59258.33333,64358.33333,66858.33333,69033.33333,76400,287065,285425,283185,282352,280712,279898,278897,276688,274864,272779
Durham,North Carolina,149425,144283.3333,144758.3333,148358.3333,156083.3333,169316.6667,180475,198566.6667,215900,230166.6667,230727,235341,241117,246992,253290,258647,265499,269844,274557,278993
Tallahassee,Florida,153066.6667,137533.3333,145325,146700,142533.3333,150750,155858.3333,165866.6667,174708.3333,183791.6667,181438,182997,186298,185602,187094,188645,188870,191655,192763,194500
Stockton,California,134216.6667,124175,123616.6667,148041.6667,180016.6667,205900,230291.6667,255625,279275,296958.3333,292888,295363,297045,297493,301062,304550,307158,310143,311628,312697
Plano,Texas,208875,206800,213683.3333,229108.3333,251108.3333,273225,292058.3333,322050,330683.3333,332866.6667,261234,267035,272329,274708,278226,283887,287269,287715,288747,287677
Newark,New Jersey,,,,,,,,169866.6667,200933.3333,242125,277175,277574,277594,278121,278936,279636,280681,281237,281752,282011
Henderson,Nevada,162166.6667,145900,155058.3333,189891.6667,212683.3333,239158.3333,243916.6667,269008.3333,303875,322333.3333,257452,258752,263278,268274,274255,282167,289480,299314,309518,320189
Lincoln,Nebraska,,129525,131708.3333,136275,138741.6667,145625,153725,159575,173200,183450,259455,262690,265861,269129,274128,277345,281339,284527,286930,289102
Modesto,California,121041.6667,119066.6667,125616.6667,159025,191025,217200,238191.6667,259666.6667,283033.3333,295400,203301,204017,205040,206075,207652,209245,211231,213000,214389,215196
Reno,Nevada,167075,145750,155316.6667,201291.6667,228108.3333,262208.3333,286850,315658.3333,352083.3333,369783.3333,225652,227061,228926,230987,234096,238082,242143,246615,250146,255601
Spokane,Washington,147783.3333,137975,139516.6667,145600,142741.6667,153275,164991.6667,175133.3333,195200,224608.3333,209525,209042,209304,210036,211095,212545,215191,217415,219332,222081
Chandler,Arizona,174550,152825,151525,174583.3333,190041.6667,207108.3333,231108.3333,248733.3333,272775,287741.6667,236454,236834,237660,239888,240888,243679,247845,253599,257186,261165
Jersey City,New Jersey,,,,,,,,398725,426900,456450,248324,252877,256072,257119,258632,260171,260427,263292,263851,262075
Mobile,Alabama,,,,,,,,,136250,132341.6667,194577,193801,193761,193288,192582,191975,191472,190190,189809,188720
Hialeah,Florida,,,102675,123366.6667,146158.3333,162391.6667,199816.6667,220475,255008.3333,258941.6667,225470,228127,230445,232316,232850,233872,234283,236314,234941,233339
San Bernardino,California,108725,113416.6667,119941.6667,150050,181358.3333,203541.6667,225833.3333,247100,273916.6667,289075,210637,212159,213161,213789,214222,215325,216036,216902,216323,215784
Chula Vista,California,308325,291741.6667,308950,354050,391533.3333,417016.6667,441150,470708.3333,503225,515925,244648,248318,252379,256691,259885,264206,266238,269046,270819,274492
Pensacola,Florida,103508.3333,101066.6667,97666.66667,103933.3333,102250,105975,123716.6667,134391.6667,141558.3333,156000,52014,51848,52149,52270,52434,52473,52662,52525,52637,52975
Madison,Wisconsin,,194091.6667,188858.3333,195391.6667,199175,209658.3333,214641.6667,232200,244075,259566.6667,233730,236908,239880,243233,245848,248788,252677,255786,257854,259680
Norfolk,Virginia,,,,,,,169533.3333,179050,186141.6667,197308.3333,242999,243655,246149,245468,246576,246457,245680,244543,243585,242742
Glendale,Arizona,95583.33333,82550,102750,131083.3333,135875,156133.3333,173858.3333,189341.6667,210641.6667,229633.3333,226236,229304,233588,236869,239964,243103,245903,247784,249955,252381
Scottsdale,Arizona,283441.6667,279366.6667,204841.6667,245733.3333,246283.3333,264766.6667,277916.6667,311950,345091.6667,376141.6667,217638,220816,225191,228887,233949,241073,247953,251396,254479,258069
Fayetteville,North Carolina,113725,112791.6667,103708.3333,98650,95266.66667,96783.33333,104375,103825,108375,116366.6667,208337,208745,208884,211069,210076,209596,211065,209091,210748,211657
Irvine,California,567383.3333,533816.6667,538741.6667,628450,673166.6667,699266.6667,691850,668075,808308.3333,867450,213450,220303,229063,236057,247136,255382,265345,276000,281732,287401
Sarasota,Florida,145700,137491.6667,144641.6667,167425,187391.6667,205608.3333,226308.3333,240975,247941.6667,258091.6667,52219,52527,52954,53149,54015,54956,56440,57185,57746,58285
Chesapeake,Virginia,,,,,,,226050,235750,243325,256833.3333,223556,225361,228091,230327,233360,235111,237464,240143,242359,244835
Fort Myers,Florida,,100083.3333,115458.3333,134991.6667,149325,168325,167275,174533.3333,198825,206541.6667,62503,63818,65504,67802,70449,73470,76752,80015,82229,87103
Garland,Texas,100066.6667,94400,98633.33333,117616.6667,127691.6667,143783.3333,160425,178583.3333,194050,203458.3333,227345,230055,233698,234660,235590,237161,236310,238327,241709,239928
North Las Vegas,Nevada,113066.6667,99766.66667,102216.6667,136775,157666.6667,171100,183100,209733.3333,246150,260825,216836,218291,221856,225346,228680,232537,236513,240504,245349,251974
Fremont,California,507158.3333,466091.6667,482283.3333,604366.6667,694208.3333,752083.3333,820466.6667,913675,1076591.667,999200,214553,217391,221426,224796,228274,231687,233478,234544,237811,241110
Santa Clarita,California,342750,316391.6667,304566.6667,368175,409433.3333,437041.6667,461900,486525,525075,551666.6667,208822,209843,210672,211376,212283,213184,213526,213734,213549,212979
Fontana,California,198850,193558.3333,205883.3333,251050,291816.6667,317433.3333,335391.6667,350208.3333,391983.3333,408616.6667,197317,199880,201212,202670,203972,206163,208718,211122,213202,214547
Irving,Texas,133333.3333,126225,148516.6667,174850,176391.6667,184233.3333,202100,222133.3333,243266.6667,257275,216859,219859,225748,228943,232584,237201,239898,240608,241424,239798
Springfield,Missouri,108183.3333,101683.3333,104908.3333,110133.3333,114008.3333,119258.3333,124958.3333,128333.3333,136275,141491.6667,159376,160246,161915,163708,164749,166133,166541,167116,167539,167882
Greenville,South Carolina,89991.66667,94825,118508.3333,121291.6667,124541.6667,137375,150050,160175,178016.6667,198175,59414,59810,60171,60625,61505,63606,67134,68474,68849,70635
Santa Rosa,California,293925,266491.6667,289750,357600,404483.3333,445433.3333,481266.6667,525741.6667,580791.6667,566250,175238,176243,177093,178684,180585,181485,181909,181596,176750,176753
Oxnard,California,,,,,,,427308.3333,468200,496316.6667,513150,198539,199968,201105,202835,204560,206228,207455,208831,209271,208881
Richmond,Virginia,143800,137383.3333,149883.3333,172800,177758.3333,181341.6667,202758.3333,200741.6667,208491.6667,,204302,206391,210794,213860,217044,220856,225369,227230,229221,230436
Des Moines,Iowa,87308.33333,80325,85950,96550,101800,109633.3333,118408.3333,125966.6667,129000,143066.6667,205032,207924,210244,212026,214350,215243,216308,216662,215994,214237
Ocala,Florida,82266.66667,72916.66667,78125,82766.66667,83016.66667,91616.66667,105583.3333,118008.3333,132650,145808.3333,56565,56707,56783,56804,57178,57719,58460,59091,60274,60786
Boca Raton,Florida,198008.3333,160716.6667,176850,214616.6667,246408.3333,263058.3333,279100,288908.3333,306775,309241.6667,85158,86460,87646,89689,91276,93498,96427,98236,99351,99805
Montgomery,Alabama,100641.6667,88650,82008.33333,81241.66667,81583.33333,80183.33333,86275,90341.66667,95275,101533.3333,205593,205198,203946,202439,201435,201018,200441,200047,198899,198525
Bradenton,Florida,124091.6667,106908.3333,113541.6667,124366.6667,142650,164875,184950,196675,208341.6667,223666.6667,49310,49642,50207,51175,52253,53838,55048,56686,57601,59439
Corona,California,275000,269725,275683.3333,335766.6667,373375,390766.6667,409966.6667,428550,470516.6667,485175,153052,154693,157405,158763,160419,163154,166067,167310,168476,169868
Oceanside,California,297058.3333,284308.3333,297891.6667,355558.3333,396833.3333,413300,442916.6667,478683.3333,509266.6667,523150,168079,170008,171590,173175,174318,175189,175451,175884,175758,175742
Tacoma,Washington,175000,150866.6667,142216.6667,157141.6667,168191.6667,190700,219075,245366.6667,278583.3333,305058.3333,198230,199519,201537,202127,203740,206784,210248,213417,216111,217827
Grand Rapids,Michigan,,,61800,82616.66667,98325,109733.3333,121616.6667,134725,152183.3333,164508.3333,188007,189104,190821,192982,194335,195056,196556,199135,200136,201013
Gainesville,Florida,147525,122891.6667,119375,125400,124291.6667,137783.3333,149650,162975,166966.6667,183158.3333,124681,125671,125993,126340,127571,129356,131580,132041,133665,133997
Yonkers,New York,479358.3333,443500,455666.6667,454283.3333,472958.3333,459233.3333,460241.6667,490733.3333,501125,523866.6667,196407,197584,198057,198769,199367,199667,200077,199873,199883,200370
Glendale,California,,,,,,,,,776100,796125,191720,192656,193859,195318,198232,199197,200118,201804,200688,199303
Moreno Valley,California,153833.3333,151108.3333,155483.3333,191775,233083.3333,250708.3333,276350,291975,322608.3333,340250,194240,196590,198214,200195,201831,202919,204711,206741,208889,213055
Akron,Ohio,,,,45141.66667,50333.33333,43575,48608.33333,58133.33333,65116.66667,71366.66667,199081,199112,198969,198972,199008,198588,198068,198085,197884,197597
Aurora,Illinois,122941.6667,101366.6667,100966.6667,113966.6667,131825,142341.6667,152408.3333,168383.3333,181716.6667,190908.3333,198207,199150,199648,199803,200189,200315,200799,200391,199199,197757
Wilmington,North Carolina,180825,165175,159891.6667,168516.6667,176958.3333,182758.3333,187150,201575,218333.3333,232408.3333,106754,108141,109658,111686,113320,115050,118770,120836,122616,123744
Huntington Beach,California,555750,504441.6667,519466.6667,595241.6667,643908.3333,652983.3333,692591.6667,711525,766758.3333,800541.6667,191296,192995,194174,197107,199610,200653,200284,200938,200126,199223
Huntsville,Alabama,,,,119958.3333,124858.3333,124641.6667,133725,137933.3333,156658.3333,164225,180941,182327,183748,186001,187834,190333,192412,195420,198125,200574
Amarillo,Texas,114200,118408.3333,124858.3333,124891.6667,129200,133016.6667,136266.6667,137783.3333,139658.3333,144150,191249,193763,195404,196248,197200,197816,198694,199722,199183,199371
Eugene,Oregon,220050,197233.3333,199675,220858.3333,226600,230666.6667,249908.3333,269083.3333,299575,317083.3333,156527,157424,158238,158441,160260,162910,165927,169391,170701,172622
Salt Lake City,Utah,209583.3333,198600,203991.6667,234433.3333,245341.6667,259916.6667,273858.3333,299441.6667,328358.3333,362708.3333,186643,188265,190183,192121,191837,192163,194680,200932,200435,200567
Salinas,California,228266.6667,219525,234758.3333,303308.3333,354358.3333,386533.3333,424158.3333,453950,483308.3333,507508.3333,150887,152412,153815,154958,155717,156244,156830,156463,155647,155465
Little Rock,Arkansas,154791.6667,152700,156416.6667,155383.3333,149775,154083.3333,156266.6667,161616.6667,154566.6667,159350,193972,195292,196564,197143,197595,198178,198631,198314,197484,197312
Fort Collins,Colorado,,,223833.3333,237075,252350,291008.3333,322225,351191.6667,373891.6667,388175,145268,146673,149508,152668,156804,160991,163004,165541,168324,170243
Hayward,California,265700,240975,254466.6667,354708.3333,410558.3333,456608.3333,515958.3333,576616.6667,636283.3333,649066.6667,144835,146935,149406,151753,154376,157999,159331,160324,159760,159203
Rockford,Illinois,,,,,,68391.66667,77483.33333,82716.66667,87275,90408.33333,153147,152129,151258,150608,149378,148465,147796,147008,146307,145609
Evansville,Indiana,94508.33333,95750,100183.3333,102758.3333,106091.6667,112350,117458.3333,119041.6667,119075,129708.3333,120091,120216,120266,120295,120153,119487,119004,118331,118060,117979
Worcester,Massachusetts,163350,144933.3333,145433.3333,164225,167900,180950,194016.6667,205166.6667,221991.6667,240783.3333,181759,182387,182575,183327,184559,184627,184859,185325,185555,185428
Overland Park,Kansas,,217575,223925,235541.6667,229816.6667,251475,261775,271475,294133.3333,309933.3333,174040,176034,178683,180932,183980,186222,189302,191327,192724,195494
Lancaster,California,124383.3333,122975,120658.3333,147425,167466.6667,187175,216016.6667,244283.3333,272325,282750,156824,158078,158253,159055,159634,159813,159633,159434,158622,157601
Salem,Oregon,164050,150925,149316.6667,156591.6667,173300,188041.6667,209250,234633.3333,266300,279666.6667,155247,156171,157369,158814,160675,163175,166478,169627,172646,174365
Garden Grove,California,350583.3333,345841.6667,339625,393850,431000,464633.3333,502250,534208.3333,591050,601950,171181,172957,173809,174422,174423,174343,174571,173422,172195,171644
Grand Prairie,Texas,117025,109416.6667,121866.6667,134908.3333,152108.3333,163033.3333,178133.3333,194616.6667,212858.3333,223675,175974,178903,182030,183891,185824,188411,192095,193973,193989,194543
Beaverton,Oregon,224183.3333,201966.6667,211208.3333,240966.6667,260341.6667,282750,320816.6667,357408.3333,382233.3333,394083.3333,90100,91569,92558,93279,94714,95863,97738,97824,98775,99037
Escondido,California,281766.6667,275333.3333,294150,367858.3333,398208.3333,419700,448316.6667,471975,522366.6667,518358.3333,144440,146099,147570,148794,149708,150683,151204,151220,151793,151625
Providence,Rhode Island,,,,,,,,,202783.3333,209200,178029,178332,178813,178692,179119,179252,179548,179252,179520,179883
Fort Lauderdale,Florida,185908.3333,180875,203016.6667,237850,267183.3333,273550,277966.6667,287866.6667,314500,326241.6667,166126,169012,170909,172275,175153,177356,178837,179877,182101,182437
Ontario,California,204325,198708.3333,205333.3333,260058.3333,296800,323658.3333,346150,364833.3333,411408.3333,420916.6667,164377,165756,166630,167096,168097,170210,172561,175334,180718,185010
Columbus,Georgia,,,86100,85750,89925,85758.33333,87950,101566.6667,108483.3333,107733.3333,191101,195271,198965,203225,200563,198702,196219,193836,194169,195769
Charleston,South Carolina,223375,207133.3333,208933.3333,225158.3333,234100,251891.6667,267191.6667,278858.3333,306225,308866.6667,120700,123012,125223,127246,129434,132413,134453,135626,136111,137566
Kissimmee,Florida,92975,89608.33333,100441.6667,122533.3333,133825,147841.6667,166875,186533.3333,222400,229441.6667,59694,61323,63422,64921,66509,68633,69407,71446,73751,72717
Chattanooga,Tennessee,108091.6667,107308.3333,111916.6667,117741.6667,121016.6667,136258.3333,142908.3333,152908.3333,157758.3333,172750,170574,172341,173972,175325,175321,176400,177746,179530,181918,182799
Tempe,Arizona,151508.3333,129191.6667,126125,150766.6667,163766.6667,180591.6667,205841.6667,219691.6667,237866.6667,249725,162323,164477,168549,170740,175636,179114,184877,185792,191746,195805
Murfreesboro,Tennessee,138641.6667,136266.6667,139008.3333,147041.6667,154341.6667,171325,191041.6667,213758.3333,234775,251975,109572,111901,114141,117042,120808,125958,131409,136217,141442,146900
Rancho Cucamonga,California,300858.3333,282425,293508.3333,363016.6667,395516.6667,413483.3333,431750,439366.6667,499916.6667,506275,166226,167928,169959,170815,173220,174203,175782,176921,177345,177603
Cape Coral,Florida,,97400,117625,138841.6667,149741.6667,166883.3333,175641.6667,191483.3333,217783.3333,230850,154731,157330,160558,164336,168365,173572,178534,183701,189468,194495
Savannah,Georgia,135616.6667,135691.6667,133225,147000,153108.3333,170858.3333,176716.6667,181475,193425,193691.6667,137412,140414,142327,142600,143883,145160,145818,145804,145817,144464
Killeen,Texas,100033.3333,97450,96250,95283.33333,91258.33333,102516.6667,105325,112241.6667,121725,132016.6667,129024,130838,134240,136294,137589,140147,142854,145149,148683,151666
Palmdale,California,145125,139533.3333,137791.6667,164708.3333,193158.3333,220858.3333,245775,272316.6667,298933.3333,315983.3333,152936,153996,154861,156495,156770,156988,156739,156558,156158,155079
Roanoke,Virginia,135191.6667,134383.3333,133575,136375,145683.3333,151616.6667,142025,145700,147350,156000,96720,96782,98011,98849,99427,99669,99337,98986,99009,99143
Newport News,Virginia,167241.6667,150758.3333,146108.3333,150175,144266.6667,150958.3333,162075,163991.6667,169433.3333,173433.3333,180888,180078,180056,181275,181522,180958,180209,179447,178523,179225
El Cajon,California,274116.6667,262250,280650,333075,364141.6667,400725,419900,449841.6667,480616.6667,496850,99823,100795,101537,102303,102789,103230,103527,103468,103041,102708
Clarksville,Tennessee,120075,125975,130875,125233.3333,126483.3333,129883.3333,138916.6667,144408.3333,158666.6667,171416.6667,133486,136104,142652,142281,145899,148147,149162,152917,156376,158146
Elk Grove,California,228591.6667,207433.3333,215600,268075,304566.6667,323808.3333,352933.3333,388741.6667,421125,430875,153375,155615,158083,160251,162701,165997,169156,171425,172603,174775
